"AphiaID","ScientificName","Authority","DrID","Locality","Latitude","Longitude","Source","MinDepth","MaxDepth","UnacceptReason","UnacceptSource","Kingdom","Phylum","Class","Order","Family","Genus","Subgenus","Species","Subspecies"
"140895","Aartsenia candida","(Møller, 1842)","323388","North West Atlantic","","","North-West Atlantic Ocean species (NWARMS)","","","","","Animalia","Mollusca","Gastropoda","","Pyramidellidae","Aartsenia","","candida",""
"140895","Aartsenia candida","(Møller, 1842)","307920","European waters (ERMS scope)","","","Gofas, S.; Le Renard, J.; Bouchet, P. (2001). Mollusca. in: Costello, M.J. et al. (eds), European Register of Marine Species: a check-list of the marine species in Europe and a bibliography of guides to their identification. <em>Patrimoines Naturels.</em> 50: 180-213.","","","","","Animalia","Mollusca","Gastropoda","","Pyramidellidae","Aartsenia","","candida",""
"326194","Aberranta enigmatica","Hartman, 1965","831503","Atlantic Ocean","","","Fauchald, K. (2007). World Register of Polychaeta. ","","","","","Animalia","Annelida","Polychaeta","","Aberrantidae","Aberranta","","enigmatica",""
"326194","Aberranta enigmatica","Hartman, 1965","775120","Gulf of St. Lawrence","","","Miller, Roberta. 2012. The museum collection database, Fisheries and Oceans Canada digital collections, Maurice Lamontagne Institute, Quebec","","","","","Animalia","Annelida","Polychaeta","","Aberrantidae","Aberranta","","enigmatica",""
"117870","Abietinaria abietina","(Linnaeus, 1758)","630285","Gulf of Maine","","","North-West Atlantic Ocean species (NWARMS)","","","","","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","","abietina",""
"117870","Abietinaria abietina","(Linnaeus, 1758)","621186","Cobscook Bay","","","Trott, T. J. (2004). Cobscook Bay inventory: a historical checklist of marine invertebrates spanning 162 years. <em>Northeastern Naturalist.</em> 11, 261-324.","","","","","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","","abietina",""
"117870","Abietinaria abietina","(Linnaeus, 1758)","606867","East North Atlantic","","","van der Land, J. (ed). (2008). UNESCO-IOC Register of Marine Organisms (URMO). ","","","","","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","","abietina",""
"117870","Abietinaria abietina","(Linnaeus, 1758)","562956","Wimereux","","","Muller, Y. (2004). Faune et flore du littoral du Nord, du Pas-de-Calais et de la Belgique: inventaire. [Coastal fauna and flora of the Nord, Pas-de-Calais and Belgium: inventory]. <em>Commission Régionale de Biologie Région Nord Pas-de-Calais: France.</em> 307 pp.","","","","","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","","abietina",""
"117870","Abietinaria abietina","(Linnaeus, 1758)","700694","USA","","","Natural Geography in Shore Areas (NaGISA) database, compiled by Ann Knowlton.","","","","","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","","abietina",""
"117870","Abietinaria abietina","(Linnaeus, 1758)","323389","North West Atlantic","","","North-West Atlantic Ocean species (NWARMS)","","","","","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","","abietina",""
"117870","Abietinaria abietina","(Linnaeus, 1758)","643588","Oostduinkerke","","","Simons, E.; Simons, G.; Corstanje, H. (1988). Report on the beach excursion at Oostduinkerke (Belgium) on 2 November 1988 [Verslag van de strandexcursie te Oostduinkerke op 2 november 1988]. De Strandvlo 8(4): 206-209","","","","","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","","abietina",""
"117870","Abietinaria abietina","(Linnaeus, 1758)","415428","Sandettie Bank","","","Leloup, E. (1933). Contribution à la connaissance des hydropolypes de la côte des Pays-Bas [Contribution to the knowladge of the hydropolyps of the Dutch coast]. <i>Bull. Mus. royal d'Hist. Nat. Belg./Med. Kon. Natuurhist. Mus. Belg. 9(45)</i>: 1-30","","","","","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria","","abietina",""
