Class,Order,Family,Species
Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser brevirostrum
Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser fulvescens
Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser medirostris
Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser oxyrinchus
Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser transmontanus
Actinopterygii,Acipenseriformes,Polyodontidae,Polyodon spathula
Actinopterygii,Albuliformes,Albulidae,Albula vulpes
Actinopterygii,Amiiformes,Amiidae,Amia calva
Actinopterygii,Anguilliformes,Anguillidae,Anguilla anguilla
Actinopterygii,Anguilliformes,Anguillidae,Anguilla rostrata
Actinopterygii,Anguilliformes,Colocongridae,Thalassenchelys coheni
Actinopterygii,Anguilliformes,Congridae,Ariosoma anale
Actinopterygii,Anguilliformes,Congridae,Ariosoma balearicum
Actinopterygii,Anguilliformes,Congridae,Conger oceanicus
Actinopterygii,Anguilliformes,Congridae,Heteroconger luteolus
Actinopterygii,Anguilliformes,Congridae,Paraconger caudilimbatus
Actinopterygii,Anguilliformes,Congridae,Pseudophichthys splendens
Actinopterygii,Anguilliformes,Congridae,Rhynchoconger flavus
Actinopterygii,Anguilliformes,Congridae,Rhyncoconger flavus
Actinopterygii,Anguilliformes,Congridae,Uroconger syringinus
Actinopterygii,Anguilliformes,Congridae,Xenomystax atrarius
Actinopterygii,Anguilliformes,Congridae,Xenomystax congroides
Actinopterygii,Anguilliformes,Derichthyidae,Derichthys serpentinus
Actinopterygii,Anguilliformes,Derichthyidae,Nessorhamphus ingolfianus
Actinopterygii,Anguilliformes,Moringuidae,Moringua edwardsi
Actinopterygii,Anguilliformes,Moringuidae,Neoconger mucronatus
Actinopterygii,Anguilliformes,Muraenidae,Anarchias similis
Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax conspersus
Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax funebris
Actinopterygii,Anguilliformes,Nemichthyidae,Avocettina infans
Actinopterygii,Anguilliformes,Nemichthyidae,Labichthys carinatus
Actinopterygii,Anguilliformes,Nemichthyidae,Nemichthys larseni
Actinopterygii,Anguilliformes,Nemichthyidae,Nemichthys scolopaceus
Actinopterygii,Anguilliformes,Nettastomatidae,Hoplunnis macrura
Actinopterygii,Anguilliformes,Nettastomatidae,Hoplunnis tenuis
Actinopterygii,Anguilliformes,Nettastomatidae,Nettastoma melanurum
