"kingdom","phylum","class","order","family","genus","species","AphiaID","env","input","dist","ocean","source","domain","inCanada"
"Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Abudefduf","Abudefduf saxatilis",159288,"Marine","Abudefduf saxatilis",49.0157573164467,"Atlantic","Org_CanFish","eez focused","outside"
"Animalia","Chordata","Teleostei","Scombriformes","Scombridae","Acanthocybium","Acanthocybium solandri",127014,"Marine","Acanthocybium solandri",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Liparidae","Acantholiparis","Acantholiparis opercularis",279480,"Marine","Acantholiparis opercularis",0,"Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Stichaeidae","Acantholumpenus","Acantholumpenus mackayi",249703,"Marine-Brackish","Acantholumpenus mackayi",0,"Arctic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Tetraodontiformes","Ostraciidae","Acanthostracion","Acanthostracion quadricornis",158920,"Marine","Acanthostracion quadricornis",0,"Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus bahianus",159578,"Marine","Acanthurus bahianus",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser brevirostrum",157869,"Marine-Freshwater-Brackish","Acipenser brevirostrum",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser fulvescens",271694,"Freshwater-Brackish","Acipenser fulvescens",0,"Atlantic-Arctic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser medirostris",271695,"Marine-Freshwater-Brackish","Acipenser medirostris",0,"Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser oxyrinchus",151802,"Marine-Freshwater-Brackish","Acipenser oxyrinchus",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser transmontanus",238345,"Marine-Freshwater-Brackish","Acipenser transmontanus",0.235932629183525,"Pacific","Org_CanFish","eez focused","outside"
"Animalia","Chordata","Teleostei","Perciformes","Agonidae","Agonomalus","Agonomalus mozinoi",279517,"Marine","Hypsagonus mozinoi",0,"Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Agonidae","Agonopsis","Agonopsis vulsa",279522,"Marine","Agonopsis vulsa",0,"Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Perciformes","Agonidae","Agonus","Agonus cataphractus",127190,"Marine","Agonus cataphractus",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Anguilliformes","Ophichthidae","Ahlia","Ahlia egmontis",158595,"Marine","Ahlia egmontis",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Aulopiformes","Notosudidae","Ahliesaurus","Ahliesaurus berryi",126347,"Marine","Ahliesaurus berryi",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Gadiformes","Macrouridae","Albatrossia","Albatrossia pectoralis",236135,"Marine","Albatrossia pectoralis",0,"Pacific","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Albuliformes","Albulidae","Albula","Albula vulpes",212256,"Marine-Brackish","Albula vulpes",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Notacanthiformes","Halosauridae","Aldrovandia","Aldrovandia affinis",126637,"Marine","Aldrovandia affinis",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Notacanthiformes","Halosauridae","Aldrovandia","Aldrovandia gracilis",157880,"Marine","Aldrovandia gracilis",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Notacanthiformes","Halosauridae","Aldrovandia","Aldrovandia oleosa",157881,"Marine","Aldrovandia oleosa",125.456605939645,"Atlantic","Org_CanFish","eez focused","outside"
"Animalia","Chordata","Teleostei","Notacanthiformes","Halosauridae","Aldrovandia","Aldrovandia phalacra",126638,"Marine","Aldrovandia phalacra",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Aulopiformes","Alepisauridae","Alepisaurus","Alepisaurus brevirostris",126332,"Marine","Alepisaurus brevirostris",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Aulopiformes","Alepisauridae","Alepisaurus","Alepisaurus ferox",126333,"Marine","Alepisaurus ferox",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Alepocephaliformes","Alepocephalidae","Alepocephalus","Alepocephalus agassizii",126681,"Marine","Alepocephalus agassizii",0,"Atlantic-Arctic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Alepocephaliformes","Alepocephalidae","Alepocephalus","Alepocephalus australis",217603,"Marine","Alepocephalus australis",0,"Atlantic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Alepocephaliformes","Alepocephalidae","Alepocephalus","Alepocephalus bairdii",126682,"Marine","Alepocephalus bairdii",0,"Atlantic-Arctic","Org_CanFish","eez focused","inside"
"Animalia","Chordata","Teleostei","Alepocephaliformes","Alepocephalidae","Alepocephalus","Alepocephalus tenebrosus",272849,"Marine","Alepocephalus tenebrosus",0,"Pacific","Org_CanFish","eez focused","inside"
