"AphiaID","species","input"
279479,"Acantholiparis caecus","Acantholiparis caecus"
272851,"Alepocephalus umbriceps","Alepocephalus umbriceps"
279791,"Atheresthes evermanni","Atheresthes evermanni"
279812,"Atherinops affinis","Atherinops affinis"
158859,"Bathypterois longifilis","Bathypterois longifilis"
126692,"Bathytroctes michaelsarsi","Bathytroctes michaelsarsi"
272103,"Benthalbella linguidens","Benthalbella linguidens"
159444,"Bryx dunckeri","Bryx dunckeri"
274452,"Careproctus oregonensis","Careproctus oregonensis"
273306,"Caristius japonicus","Caristius japonicus"
272656,"Ceratoscopelus townsendi","Ceratoscopelus townsendi"
234719,"Champsocephalus esox","Champsocephalus esox"
127180,"Coregonus lavaretus","Coregonus lavaretus"
272358,"Coryphaenoides yaquinae","Coryphaenoides yaquinae"
154314,"Ctenopharyngodon idella","Ctenopharyngodon idella"
280483,"Danaphos oculatus","Danaphos oculatus"
159615,"Diplogrammus pauciradiatus","Diplogrammus pauciradiatus"
272937,"Dolichopteryx parini","Dolichopteryx parini"
280634,"Eleginops maclovinus","Eleginops maclovinus"
158730,"Eustomias silvescens","Eustomias silvescens"
159836,"Evoxymetopon taeniatus","Evoxymetopon taeniatus"
712507,"Fowlerichthys ocellatus","Antennarius ocellatus"
126401,"Gephyroberyx darwinii","Gephyroberyx darwinii"
280835,"Gibbonsia metzi","Gibbonsia metzi"
280836,"Gibbonsia montereyensis","Gibbonsia montereyensis"
159753,"Gobionellus oceanicus","Gobionellus hastatus"
275479,"Gordiichthys irretitus","Gordiichthys irretitus"
158620,"Gordiichthys leibyi","Gordiichthys leibyi"
405451,"Gymnocephalus cernua","Gymnocephalus cernuus"
158583,"Gymnothorax funebris","Gymnothorax funebris"
281075,"Heterostichus rostratus","Heterostichus rostratus"
159265,"Hirundichthys affinis","Hirundichthys affinis"
159284,"Holacanthus bermudensis","Holacanthus bermudensis"
158723,"Holtbyrnia innesi","Holtbyrnia innesi"
272944,"Holtbyrnia latifrons","Holtbyrnia latifrons"
159415,"Hoplostethus occidentalis","Hoplostethus occidentalis"
1015723,"Hybognathus placitus","Hybognathus placitus"
274952,"Ichthyococcus elongatus","Ichthyococcus elongatus"
275151,"Idiacanthus antrostomus","Idiacanthus antrostomus"
159212,"Lasiognathus intermedius","Lasiognathus intermedius"
275402,"Lepisosteus oculatus","Lepisosteus oculatus"
159182,"Linophryne bicornis","Linophryne bicornis"
126550,"Linophryne lucifer","Linophryne lucifer"
274498,"Liparis adiastolus","Liparis adiastolus"
279395,"Lycodapus psarostomatus","Lycodapus psarostomatus"
127404,"Masturus lanceolatus","Masturus lanceolatus"
126741,"Maulisia argipalla","Maulisia argipalla"
281541,"Medialuna californiensis","Medialuna californiensis"
274931,"Melamphaes leprus","Melamphaes leprus"
126459,"Molva dypterygia","Molva dypterygia"
126461,"Molva molva","Molva molva"
272927,"Nansenia crassa","Nansenia crassa"
1526187,"Neobathyclupea argentea","Bathyclupea argentea"
158580,"Neoconger mucronatus","Neoconger mucronatus"
272727,"Notoscopelus japonicus","Notoscopelus japonicus"
293637,"Oncorhynchus masou","Oncorhynchus masou"
126570,"Oneirodes carlsbergi","Oneirodes carlsbergi"
281946,"Osteodiscus cascadiae","Osteodiscus cascadiae"
127121,"Pachycara bulbiceps","Pachycara bulbiceps"
1486848,"Parascombrops serratospinosus","Synagrops serratospinosus"
279348,"Patagonotothen wiltoni","Patagonotothen wiltoni"
126933,"Proterorhinus marmoratus","Proterorhinus marmoratus"
126850,"Remora australis","Remora australis"
293729,"Sarda chiliensis","Sarda chiliensis"
279336,"Sigmops gracilis","Sigmops gracile"
712454,"Stenodus nelma","Stenodus nelma"
159359,"Symphurus marginatus","Symphurus marginatus"
272132,"Synodus lucioceps","Synodus lucioceps"
367285,"Trachinotus falcatus","Trachinotus falcatus"
127256,"Trachyscorpia cristulata","Trachyscorpia cristulata"
158777,"Typhlonus nasus","Typhlonus nasus"
126363,"Uncisudis longirostra","Uncisudis longirostra"
271921,"Venefica ocella","Venefica ocella"
271922,"Venefica tentaculata","Venefica tentaculata"
