"kingdom","phylum","class","order","family","genus","species","AphiaID","env","input"
"Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser brevirostrum",157869,"Marine-Freshwater-Brackish","Acipenser brevirostrum"
"Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser fulvescens",271694,"Freshwater-Brackish","Acipenser fulvescens"
"Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser medirostris",271695,"Marine-Freshwater-Brackish","Acipenser medirostris"
"Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser oxyrinchus",151802,"Marine-Freshwater-Brackish","Acipenser oxyrinchus"
"Animalia","Chordata","Chondrostei","Acipenseriformes","Acipenseridae","Acipenser","Acipenser transmontanus",238345,"Marine-Freshwater-Brackish","Acipenser transmontanus"
"Animalia","Chordata","Chondrostei","Acipenseriformes","Polyodontidae","Polyodon","Polyodon spathula",994653,"Freshwater","Polyodon spathula"
"Animalia","Chordata","Teleostei","Albuliformes","Albulidae","Albula","Albula vulpes",212256,"Marine-Brackish","Albula vulpes"
"Animalia","Chordata","Holostei","Amiiformes","Amiidae","Amia","Amia calva",157877,"Freshwater","Amia calva"
"Animalia","Chordata","Teleostei","Anguilliformes","Anguillidae","Anguilla","Anguilla anguilla",126281,"Marine-Freshwater-Brackish","Anguilla anguilla"
"Animalia","Chordata","Teleostei","Anguilliformes","Anguillidae","Anguilla","Anguilla rostrata",158562,"Marine-Freshwater-Brackish","Anguilla rostrata"
"Animalia","Chordata","Teleostei","Anguilliformes","Congridae","Congriscus","Congriscus megastoma",280374,"Marine","Thalassenchelys coheni"
"Animalia","Chordata","Teleostei","Anguilliformes","Congridae","Ariosoma","Ariosoma anale",158565,"Marine","Ariosoma anale"
"Animalia","Chordata","Teleostei","Anguilliformes","Congridae","Ariosoma","Ariosoma balearicum",126283,"Marine","Ariosoma balearicum"
"Animalia","Chordata","Teleostei","Anguilliformes","Congridae","Conger","Conger oceanicus",158566,"Marine","Conger oceanicus"
"Animalia","Chordata","Teleostei","Anguilliformes","Congridae","Heteroconger","Heteroconger luteolus",158568,"Marine","Heteroconger luteolus"
"Animalia","Chordata","Teleostei","Anguilliformes","Congridae","Paraconger","Paraconger caudilimbatus",158569,"Marine","Paraconger caudilimbatus"
"Animalia","Chordata","Teleostei","Anguilliformes","Congridae","Pseudophichthys","Pseudophichthys splendens",126290,"Marine","Pseudophichthys splendens"
"Animalia","Chordata","Teleostei","Anguilliformes","Congridae","Rhynchoconger","Rhynchoconger flavus",158571,"Marine","Rhynchoconger flavus"
"Animalia","Chordata","Teleostei","Anguilliformes","Congridae","Uroconger","Uroconger syringinus",158574,"Marine","Uroconger syringinus"
"Animalia","Chordata","Teleostei","Anguilliformes","Congridae","Xenomystax","Xenomystax atrarius",283188,"Marine","Xenomystax atrarius"
"Animalia","Chordata","Teleostei","Anguilliformes","Congridae","Xenomystax","Xenomystax congroides",283191,"Marine","Xenomystax congroides"
"Animalia","Chordata","Teleostei","Anguilliformes","Derichthyidae","Derichthys","Derichthys serpentinus",126291,"Marine","Derichthys serpentinus"
"Animalia","Chordata","Teleostei","Anguilliformes","Derichthyidae","Nessorhamphus","Nessorhamphus ingolfianus",126292,"Marine","Nessorhamphus ingolfianus"
"Animalia","Chordata","Teleostei","Anguilliformes","Moringuidae","Moringua","Moringua edwardsi",158578,"Marine-Brackish","Moringua edwardsi"
"Animalia","Chordata","Teleostei","Anguilliformes","Moringuidae","Neoconger","Neoconger mucronatus",158580,"Marine","Neoconger mucronatus"
"Animalia","Chordata","Teleostei","Anguilliformes","Muraenidae","Anarchias","Anarchias similis",158581,"Marine","Anarchias similis"
"Animalia","Chordata","Teleostei","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax conspersus",158582,"Marine","Gymnothorax conspersus"
"Animalia","Chordata","Teleostei","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax funebris",158583,"Marine","Gymnothorax funebris"
"Animalia","Chordata","Teleostei","Anguilliformes","Nemichthyidae","Avocettina","Avocettina infans",126304,"Marine","Avocettina infans"
"Animalia","Chordata","Teleostei","Anguilliformes","Nemichthyidae","Labichthys","Labichthys carinatus",158588,"Marine","Labichthys carinatus"
"Animalia","Chordata","Teleostei","Anguilliformes","Nemichthyidae","Nemichthys","Nemichthys larseni",271905,"Marine","Nemichthys larseni"
"Animalia","Chordata","Teleostei","Anguilliformes","Nemichthyidae","Nemichthys","Nemichthys scolopaceus",126306,"Marine","Nemichthys scolopaceus"
"Animalia","Chordata","Teleostei","Anguilliformes","Nettastomatidae","Hoplunnis","Hoplunnis macrura",275444,"Marine","Hoplunnis macrura"
"Animalia","Chordata","Teleostei","Anguilliformes","Nettastomatidae","Hoplunnis","Hoplunnis tenuis",158591,"Marine","Hoplunnis tenuis"
"Animalia","Chordata","Teleostei","Anguilliformes","Nettastomatidae","Nettastoma","Nettastoma melanura",299709,"Marine","Nettastoma melanurum"
